"","code","pages","name","doc_name","url","mean_nchar","mean_words","mean_kango","mean_wago"
"1",102016,39,"群馬県前橋市","令和6年度保育関係施設入所の手引き","https://www.city.maebashi.gunma.jp/material/files/group/187/r6_nyusyotebiki.pdf",918.615384615385,562.282051282051,0.465519507256993,0.352633791718902
"2",11002,8,"北海道札幌市","札幌市　認可保育所等入所案内","https://kosodate.city.sapporo.jp/material/files/group/1/2309_nyusyoannai.pdf",1025.125,636,0.446545166078339,0.428810705241289
"3",112011,32,"埼玉県川越市","令和6年度保育園等入園申し込みの手引き","https://www.city.kawagoe.saitama.jp/kosodatekyoiku/azukeru/hoiku/hoiku_uketsuke.files/R6tebiki.pdf",994.625,602.25,0.386644774722729,0.389503714733528
"4",112020,9,"埼玉県熊谷市","令和６年度　熊谷市内  保育所（園）・認定こども園（保育利用） ・地域型保育施設入所のご案内","https://www.city.kumagaya.lg.jp/kosodate/kodomoshisetsu/hoikunyusyo/20210705125810966.files/R6.4sinseiannai.pdf",1007.33333333333,614.666666666667,0.342096662994243,0.349338653417206
"5",112038,122,"埼玉県川口市","保育施設利用のてびき - 川口市","https://www.city.kawaguchi.lg.jp/material/files/group/79/01_R6_AllData.pdf",942.196721311475,577.475409836066,0.384300300848021,0.402088139384499
"6",112071,15,"埼玉県秩父市","令和6年度申込のてびき","https://www.city.chichibu.lg.jp/secure/23763/R6.nyusho_tebiki.pdf",739.6,457.6,0.401085394662551,0.395876332625745
"7",112089,46,"埼玉県所沢市","令和6年度 入園のしおり(R5.10更新)","https://www.city.tokorozawa.saitama.jp/kosodatekyouiku/hoikuen/hoiku-r6.files/R6nyuuennosiori.pdf",1036.82608695652,626.173913043478,0.403074042438654,0.41720723261139
"8",112097,28,"埼玉県飯能市","令和6年度 保育所(園)等利用のご案内","https://www.city.hanno.lg.jp/material/files/group/29/r6_hoikushotouriyouannai.pdf",1063.89285714286,631.678571428571,0.402852888523408,0.418098718806059
"9",112101,17,"埼玉県加須市","令和6年度保育所・認定こども園入所案内","https://www.city.kazo.lg.jp/material/files/group/25/1f.pdf",763.235294117647,466.235294117647,0.46092340049998,0.353025383515851
"10",112119,14,"埼玉県本庄市","令和6年度保育施設利用申込みの手引き","https://www.city.honjo.lg.jp/material/files/group/50/R6tebiki.pdf",754.714285714286,464.285714285714,0.370366470614086,0.293532329256232
"11",112127,34,"埼玉県東松山市","令和６年度 東松山市 保育施設利用の手引き","https://www.city.higashimatsuyama.lg.jp/uploaded/attachment/8511.pdf",681.264705882353,420.264705882353,0.356211056414721,0.370683939073656
"12",112143,40,"埼玉県春日部市","保育施設等のご案内（令和６年度版）","https://www.city.kasukabe.lg.jp/material/files/group/27/R6anai.pdf",707.425,428.725,0.470004918335606,0.332246234485042
"13",112151,29,"埼玉県狭山市","入所のしおり[令和6年度用]","https://www.city.sayama.saitama.jp/kosodate/homeciao/azukeru/hoikusho/shinseiR06.files/R6nyuusyonosiori.pdf",849.862068965517,525.931034482759,0.410954790643059,0.408200120538002
"14",112160,16,"埼玉県羽生市","令和６年度（2024 年度）保育所等入所の手引き","https://www.city.hanyu.lg.jp/docs/2022092700079/file_contents/1R6.pdf",539.875,334.0625,0.437199999568371,0.407731799647171
"15",112178,59,"埼玉県鴻巣市","令和6年度保育施設入所案内","https://www.city.kounosu.saitama.jp/uploaded/attachment/14046.pdf",829.576271186441,501.661016949153,0.398644052211405,0.439173732629222
"16",112186,4,"埼玉県深谷市","令和6年度保育園・認定こども園・小規模保育室 入園手引き","https://www.city.fukaya.saitama.jp/material/files/group/32/R6tebiki.pdf",910.25,556,0.415482327450139,0.514226148020173
"17",112194,42,"埼玉県上尾市","令和6年度　保育施設入所申し込みの手引き","https://www.city.ageo.lg.jp/uploaded/attachment/96235.pdf",811.547619047619,497.97619047619,0.417710308102892,0.445084909970558
"18",112216,24,"埼玉県草加市","令和6（2024）年度保育所等入園案内","https://www.city.soka.saitama.jp/cont/s1603/020/010/010/010/r6-00-nyuen-annai.pdf",1346.66666666667,834.833333333333,0.449726798028155,0.392814580217638
"19",112224,40,"埼玉県越谷市","【令和6年度用】保育施設・幼稚園等のご案内","https://www.city.koshigaya.saitama.jp/kurashi_shisei/kosodate/hoikusho/files/R6annai.pdf",1643.475,986.1,0.411204723051859,0.405763094716669
"20",112232,32,"埼玉県蕨市","令和6年度保育園入園のてびき","https://www.city.warabi.saitama.jp/_res/projects/default_project/_page_/001/010/005/r6tebiki_5051025teisei.pdf",1182.65625,742.96875,0.428822095434768,0.418847601661921
"21",112241,24,"埼玉県戸田市","2024年度(令和6年度)保育施設等入所のてびき","https://www.city.toda.saitama.jp/uploaded/attachment/63201.pdf",1006.5,632.25,0.429059115008464,0.45094819935451
"22",112259,33,"埼玉県入間市","令和6年度入間市保育施設等申込みの手引き ","https://www.city.iruma.saitama.jp/material/files/group/34/r6tebiki2.pdf",805.818181818182,495.909090909091,0.401063978092364,0.414944476224183
"23",112283,35,"埼玉県志木市","令和6年度保育施設利用案内 ","https://www.city.shiki.lg.jp/uploaded/attachment/11481.pdf",504.571428571429,243.657142857143,0.000437312124943153,0.00095850942287001
"24",112291,71,"埼玉県和光市","令和6年度利用案内","https://www.city.wako.lg.jp/var/rev0/0140/0534/1231114161620.pdf",764.971830985916,472.971830985916,0.420706197096606,0.416297466512596
"25",112305,45,"埼玉県新座市","令和6年度保育施設利用申込みのご案内","https://www.city.niiza.lg.jp/uploaded/attachment/57767.pdf",955.555555555556,593.955555555556,0.455134734566336,0.386148226380429
