"x"
""
"入りやすい保育所を上位に記入した"
"入りやすい保育所を上位に記入した, 入りにくい保育所を上位に記入した"
""
""
""
""
""
"保育所に落ちそうなのでより多くの保育所を記入した"
"入りやすい保育所を上位に記入した"
"保育所に落ちそうなのでより多くの保育所を記入した"
""
""
""
"入りやすい保育所を上位に記入した"
""
""
""
"入りやすい保育所を下位に記入した"
"入りやすい保育所を上位に記入した"
"入りやすい保育所を上位に記入した, 入りにくい保育所を選ばなかった"
""
"入りやすい保育所を上位に記入した"
"入りやすい保育所を上位に記入した"
"入りにくい保育所を上位に記入した, 入りやすい保育所を下位に記入した, 保育所に落ちそうなのでより多くの保育所を記入した"
"入りにくい保育所を選ばなかった"
"保育所に落ちそうなのでより多くの保育所を記入した"
""
""
"保育所に落ちそうなのでより多くの保育所を記入した"
"保育所に落ちそうなのでより多くの保育所を記入した"
"入りやすい保育所を上位に記入した, 入りにくい保育所を下位に記入した"
"入りにくい保育所を上位に記入した"
""
"入りやすい保育所を上位に記入した"
""
""
"入りやすい保育所を上位に記入した"
"入りやすい保育所を上位に記入した"
""
