,就学前人口,利用定員数,利用人数,待機児童
2010,"6,464,000","2,157,890","2,080,114","26,275"
2015,"6,258,000","2,474,554","2,373,614","23,167"
2020,"5,734,000","2,800,579","2,737,359","12,439"
2024,"5,003,000","3,044,399","2,705,058","2,567"
